state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
2388776,-922,7958,704,-8,-5,121,-66686,0,-2,4,0,36155,128,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,1314,0
2388781,-910,7998,694,-6,-6,125,-66685,6,1,3,0,36155,128,33,74,0,0,0,0,0,0,0,0,-32301,0,0,0,0,0,2388781,0
2388786,-830,8016,688,-3,-3,133,-66687,-3,-3,3,0,36153,128,33,74,0,0,0,0,0,0,0,0,-32301,0,0,0,0,0,2388786,0
2388791,-798,8054,706,-2,-3,132,-66686,0,1,3,0,36153,128,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388791,0
2388796,-694,8078,696,9,4,137,-66685,1,-3,3,0,36151,133,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388796,0
2388801,-658,8090,708,2,7,133,-66686,0,2,6,0,36151,133,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388801,0
2388806,-628,8102,656,5,-4,132,-66685,3,-1,4,0,36145,140,33,74,0,0,0,0,0,0,0,0,-32301,0,0,0,0,0,2388806,0
2388811,-596,8102,672,4,6,129,-66687,-1,0,3,0,36145,140,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388811,0
2388816,-526,8128,648,11,8,121,-66686,0,1,4,0,36143,142,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388816,0
2388821,-486,8072,650,14,2,114,-66687,-2,-1,5,0,36143,142,33,74,0,0,0,0,0,0,0,0,-32301,0,0,0,0,0,2388821,0
2388826,-474,8064,654,18,-1,111,-66685,5,1,4,0,36140,141,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388826,0
2388831,-480,8056,668,6,2,104,-66685,-1,1,4,0,36140,141,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388831,0
2388836,-478,8132,666,10,-3,94,-66686,3,1,4,0,36139,138,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388836,0
2388841,-470,8172,652,29,1,86,-66686,0,-2,4,0,36139,138,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388841,0
2388846,-460,8192,664,23,-11,75,-66685,2,-4,5,0,36139,138,33,74,0,0,0,0,0,0,0,0,-32301,0,0,0,0,0,2388847,0
2388851,-458,8190,668,22,-1,72,-66686,-5,0,5,0,36139,138,33,74,0,0,0,0,0,0,0,0,-32301,0,0,0,0,0,2388852,0
2388856,-444,8142,666,26,-9,60,-66685,3,2,4,0,36140,132,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388857,0
2388861,-430,8116,648,25,-9,52,-66687,0,-2,4,0,36140,132,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388862,0
2388866,-396,8112,646,31,-7,42,-66686,-3,0,4,0,36139,131,33,74,0,0,0,0,0,0,0,0,-32301,0,0,0,0,0,2388867,0
2388871,-384,8110,650,38,-4,34,-66685,7,-1,2,0,36139,131,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388872,0
2388876,-376,8138,636,30,-14,19,-66686,-2,6,5,0,36140,125,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388877,0
2388881,-402,8144,632,34,-15,10,-66686,-7,-1,4,0,36140,125,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388882,0
2388886,-392,8174,634,32,-12,6,-66686,1,-3,3,0,36139,126,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388887,0
2388891,-394,8162,624,34,-16,-5,-66685,7,4,3,0,36139,126,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388892,0
2388896,-426,8160,624,31,-9,-19,-66687,-1,0,2,0,36139,120,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388897,0
2388901,-480,8130,630,25,-12,-19,-66685,1,1,4,0,36139,120,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388902,0
2388906,-482,8126,636,35,-15,-28,-66685,2,2,3,0,36137,122,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388907,0
2388911,-504,8136,646,34,-15,-34,-66687,-4,4,3,0,36137,122,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388912,0
2388916,-556,8112,652,30,-15,-46,-66686,-3,-4,2,0,36136,127,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388917,0
2388921,-608,8104,646,31,-11,-42,-66685,0,-2,4,0,36136,127,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388922,0
2388926,-636,8118,678,33,-14,-46,-66684,9,3,3,0,36134,124,33,74,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,2388927,0
