state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
575285,-1212,8038,50,58,82,37,-2382,3,0,-3,0,37287,127,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,912,0
575290,-1192,8022,72,60,65,32,-2382,-3,0,-1,0,37286,131,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575290,0
575295,-1200,8044,56,72,52,31,-2383,0,5,-2,0,37286,131,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575295,0
575300,-1180,8058,22,79,34,26,-2383,-6,0,-4,0,37285,133,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575300,0
575305,-1178,8056,10,91,19,20,-2382,0,0,-4,0,37285,133,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575305,0
575310,-1202,8072,26,85,7,18,-2382,-3,-1,-1,0,37278,131,29,144,0,0,0,0,0,0,0,0,-32308,0,0,0,0,0,575310,0
575315,-1222,8090,26,87,1,13,-2382,0,0,-3,0,37278,131,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575315,0
575320,-1164,8144,2,87,-12,15,-2383,-1,-2,-1,0,37274,120,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575320,0
575325,-1218,8152,-22,82,-23,21,-2383,2,0,0,0,37274,120,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575325,0
575330,-1202,8188,-18,74,-29,21,-2383,-4,0,-1,0,37277,121,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575330,0
575335,-1208,8206,-14,71,-35,23,-2382,0,2,-2,0,37277,121,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575335,0
575340,-1222,8234,-24,60,-42,25,-2383,-1,1,-2,0,37275,118,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575340,0
575345,-1234,8254,-20,53,-51,29,-2383,3,-2,-2,0,37275,118,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575345,0
575350,-1244,8230,-16,53,-62,34,-2382,1,-3,0,0,37275,121,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575350,0
575355,-1260,8218,10,49,-72,41,-2382,1,1,-1,0,37275,121,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575355,0
575360,-1268,8142,62,50,-94,43,-2383,0,2,0,0,37266,127,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575360,0
575365,-1256,8134,56,59,-109,57,-2383,-3,-1,-2,0,37266,127,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575365,0
575370,-1262,8160,48,63,-122,56,-2383,1,-2,-1,0,37267,124,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575370,0
575375,-1264,8172,52,67,-131,64,-2382,-1,-2,0,0,37267,124,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575375,0
575380,-1214,8178,-8,68,-154,69,-2381,3,-1,-1,0,37267,125,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575380,0
575385,-1208,8202,14,61,-152,72,-2384,-5,-2,-2,0,37267,125,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575385,0
575390,-1210,8214,28,68,-159,76,-2382,0,4,-3,0,37267,123,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575390,0
575395,-1186,8244,28,65,-165,74,-2382,1,-6,-1,0,37267,123,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575395,0
575400,-1184,8288,30,67,-175,77,-2383,2,6,-2,0,37266,126,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575400,0
575405,-1172,8274,-2,67,-182,79,-2382,2,2,-2,0,37266,126,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575405,0
575410,-1204,8340,-2,62,-177,87,-2383,-3,-5,-3,0,37265,137,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575410,0
575415,-1186,8414,-28,46,-178,93,-2381,8,4,-3,0,37265,137,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575415,0
575420,-1184,8432,-98,22,-160,97,-2381,7,-2,-1,0,37263,129,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575420,0
575425,-1190,8418,-82,4,-167,108,-2383,-3,-1,0,0,37263,129,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575425,0
575430,-1232,8356,-22,5,-166,112,-2382,-1,-4,-2,0,37266,135,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575430,0
575435,-1274,8302,72,8,-178,111,-2383,2,-3,-4,0,37266,135,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575435,0
575440,-1240,8180,84,31,-201,115,-2382,1,2,-2,0,37268,138,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575440,0
575445,-1250,8184,60,36,-209,113,-2384,1,-2,-1,0,37268,138,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575445,0
575450,-1220,8200,52,49,-221,114,-2383,-5,-3,-2,0,37269,140,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575450,0
575455,-1248,8160,50,60,-238,117,-2383,1,2,-2,0,37269,140,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575455,0
575460,-1184,8242,34,68,-245,114,-2382,5,3,-3,0,37269,126,29,144,0,0,0,0,0,0,0,0,-32308,0,0,0,0,0,575460,0
575465,-1164,8230,20,74,-250,106,-2382,5,2,-3,0,37269,126,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575465,0
575470,-1122,8276,-8,77,-253,101,-2383,-6,-3,-2,0,37269,119,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575470,0
575475,-1146,8220,4,80,-259,91,-2383,-6,0,-2,0,37269,119,29,144,0,0,0,0,0,0,0,0,-32306,0,0,0,0,0,575475,0
575480,-1132,8242,68,85,-254,77,-2384,-7,-5,-3,0,37270,115,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575480,0
575485,-1088,8228,36,89,-259,72,-2382,5,0,-3,0,37270,115,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575485,0
575490,-1114,8216,28,85,-253,62,-2382,3,0,-4,0,37268,122,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575490,0
575495,-1116,8244,10,89,-255,58,-2383,3,4,-3,0,37268,122,29,144,0,0,0,0,0,0,0,0,-32307,0,0,0,0,0,575496,0
575500,-1106,8226,20,86,-241,52,-2383,-1,-2,-4,0,37265,121,29,144,0,0,0,0,0,0,0,0,-32308,0,0,0,0,0,575500,0
